,Time,Position,Velocity,Voltage,Force
112,1.935262,-0.0002449655172413,-0.0006223907162855,0.0,-10.7813
114,1.98015,-0.0002857931034482,-0.0008880710456836,0.0,-11.4398
116,2.01463,-0.0003164137931034,-0.0008587615729726,0.0,-11.4081
118,2.050361,-0.0003470344827586,-0.0015093749521946,0.0,-12.1256
119,2.064631,-0.0003623448275862,-0.0009691011695785,0.0,-12.162
120,2.081958,-0.0003776551724137,-0.0007853069772048,0.0,-12.5071
121,2.103623,-0.0003929655172413,-0.0008204900765051,0.0,-12.657
122,2.119278,-0.0004082758620689,-0.0010925425359536,0.0,-12.6661
123,2.13165,-0.0004235862068965,-0.0011904077951027,0.0,-12.8885
124,2.149288,-0.000444,-0.0009240076542796,0.0,-12.9068
125,2.164789,-0.0004542068965517,-0.000949891104826,0.0,-13.1792
126,2.181524,-0.0004746206896551,-0.0012616683005839,0.0,-13.211
127,2.197149,-0.0004950344827586,-0.0010785622224211,0.0,-13.2701
128,2.214646,-0.0005103448275862,-0.0009245377311344,0.0,-13.3382
129,2.230269,-0.0005256551724137,-0.0010295437312612,0.0,-13.4972
130,2.249345,-0.0005460689655172,-0.0010366240476767,0.0,-13.5198
132,2.264731,-0.0005766896551724,-0.0011065243280481,0.0,-13.815
134,2.299031,-0.0006124137931034,-0.001969140002813,0.0,-13.9875
135,2.315158,-0.0006328275862068,-0.0012464155027139,0.0,-14.3281
136,2.331787,-0.0006532413793103,-0.0012275281481327,0.0,-14.5235
137,2.348418,-0.0006736551724137,-0.0013809691666493,0.0,-14.5099
138,2.365047,-0.0006991724137931,-0.0015345024583144,0.0,-15.0593
139,2.381676,-0.0007246896551724,-0.0014240856504126,0.0,-14.9004
140,2.3973,-0.0007451034482758,-0.0012344687874367,0.0,-14.8141
141,2.414749,-0.0007655172413793,-0.0013443098452529,0.0,-14.9776
142,2.431467,-0.0007910344827586,-0.0010372651523062,0.0,-15.0956
143,2.46395,-0.0008165517241379,-0.0010391237097839,0.0,-14.9276
144,2.48058,-0.0008420689655172,-0.0013810106883177,0.0,-14.8413
146,2.497209,-0.0008828965517241,-0.0020249483012716,0.0,-15.1184
147,2.532493,-0.0009339310344827,-0.0015058269397865,0.0,-15.241
148,2.548046,-0.000959448275862,-0.0017317435615412,0.0,-15.2591
149,2.56491,-0.0009900689655172,-0.001142942993963,0.0,-15.132
150,2.597163,-0.0010155862068965,-0.0010440129034351,0.0,-15.359
151,2.613793,-0.0010411034482758,-0.0016838516762495,0.0,-15.2092
153,2.631507,-0.0010870344827586,-0.0014863690915573,0.0,-15.2228
155,2.664837,-0.0011431724137931,-0.0030686358462281,0.0,-15.1139
156,2.681468,-0.0011737931034482,-0.0018412922221991,0.0,-15.0593
