,Time,Position,Velocity,Voltage,Force
101,1.547135,-0.0020771034482758,-0.0049005648894392,0.3,-29.6735
102,1.578377,-0.0021638620689655,-0.0037026490275763,0.3,-30.5591
104,1.593998,-0.0023220689655172,-0.0053902763123623,0.3,-31.5082
106,1.625242,-0.0024904827586206,-0.0060440300303084,0.3,-31.9851
107,1.656484,-0.0026078620689655,-0.0055539735413645,0.3,-32.8298
108,1.672105,-0.0027507586206896,-0.0078409038231028,0.3,-33.302
109,1.687726,-0.0028528275862068,-0.0042469749868477,0.3,-33.1659
111,1.71897,-0.003031448275862,-0.0076777974125514,0.3,-34.4238
112,1.750211,-0.0031896551724137,-0.005662995824865,0.3,-34.115
113,1.765832,-0.0032968275862068,-0.0070239181852596,0.3,-34.6327
114,1.781454,-0.0034091034482758,-0.0070239181852597,0.3,-35.4094
115,1.797075,-0.0035162758620689,-0.0070241430081963,0.3,-35.3095
116,1.812696,-0.0036285517241379,-0.0071872651198005,0.3,-37.1124
117,1.828318,-0.0037408275862068,-0.0065336682574089,0.3,-36.8943
118,1.84394,-0.0038326896551724,-0.0065338773816369,0.3,-37.6846
119,1.859561,-0.0039449655172413,-0.0073508473341589,0.3,-36.8262
120,1.875182,-0.0040623448275862,-0.0066974386822336,0.3,-37.3031
121,1.890803,-0.0041542068965517,-0.0068605712507187,0.3,-37.4394
122,1.906425,-0.0042766896551724,-0.008167085321761,0.3,-40.3322
123,1.922047,-0.0044093793103448,-0.0071874951711776,0.3,-40.6365
124,1.937667,-0.0045012413793103,-0.0070241430081962,0.3,-40.1006
125,1.953289,-0.0046288275862068,-0.0070239181852597,0.3,-40.2323
126,1.96891,-0.0047206896551724,-0.0071874951711776,0.3,-40.5729
127,1.984531,-0.0048533793103448,-0.0073508473341589,0.3,-41.1769
128,2.000152,-0.0049503448275862,-0.0075139589888824,0.3,-41.2586
129,2.015774,-0.0050881379310344,-0.0086571104410667,0.3,-42.3577
130,2.031396,-0.0052208275862068,-0.0086576646380093,0.3,-42.2487
131,2.047016,-0.0053586206896551,-0.0076775516601214,0.3,-42.8119
132,2.062638,-0.0054606896551724,-0.0080037436153258,0.3,-43.3477
133,2.07826,-0.0056086896551724,-0.0093104772668077,0.3,-44.0244
134,2.093882,-0.0057515862068965,-0.0080042559860842,0.3,-44.0334
135,2.109502,-0.0058587586206896,-0.0080045121960641,0.3,-43.6111
136,2.125123,-0.0060016551724137,-0.0091477211269532,0.3,-44.0744
137,2.140744,-0.0061445517241379,-0.0083306936615871,0.3,-44.4058
138,2.156366,-0.0062619310344827,-0.008494040596128,0.3,-44.9235
139,2.171987,-0.0064099310344827,-0.0098011297788785,0.3,-45.7638
140,2.187608,-0.0065681379310344,-0.0084937687346315,0.3,-45.8863
141,2.203231,-0.0066753103448275,-0.0084937687346315,0.3,-45.5003
142,2.218852,-0.0068335172413793,-0.0101281582888976,0.3,-46.6629
143,2.234472,-0.006991724137931,-0.0086576646380094,0.3,-47.7483
144,2.250094,-0.007104,-0.0075139589888823,0.3,-47.3441
145,2.265715,-0.0072264827586206,-0.0089843689639719,0.3,-47.8482
146,2.281336,-0.0073846896551724,-0.0102911862678225,0.3,-48.9109
147,2.296957,-0.007548,-0.0104542038106191,0.3,-48.9517
148,2.312579,-0.0077113103448275,-0.01061755074516,0.3,-49.7192
149,2.3282,-0.007879724137931,-0.0094744254529158,0.3,-50.5503
150,2.343821,-0.0080073103448275,-0.0094741222033734,0.3,-51.1226
151,2.359443,-0.008175724137931,-0.0096374691379145,0.3,-52.3941
152,2.375064,-0.0083084137931034,-0.0098008160724554,0.3,-53.584
153,2.390686,-0.0084819310344827,-0.0111075915487828,0.3,-53.4977
154,2.406307,-0.008655448275862,-0.0098011297788786,0.3,-54.2925
155,2.421928,-0.0087881379310344,-0.0098008160724554,0.3,-54.1517
156,2.43755,-0.0089616551724137,-0.0114342854178645,0.3,-55.4823
157,2.453171,-0.0091453793103448,-0.0102911862678224,0.3,-56.8266
158,2.468792,-0.0092831724137931,-0.0101275099415372,0.3,-56.8583
159,2.484414,-0.0094617931034482,-0.0115976323524055,0.3,-57.7848
160,2.500035,-0.0096455172413793,-0.010454203810619,0.3,-58.2707
161,2.515657,-0.0097884137931034,-0.0104542038106191,0.3,-58.8838
162,2.531278,-0.0099721379310344,-0.012088060060617,0.3,-59.1836
163,2.546899,-0.0101660689655172,-0.0107812427567663,0.3,-56.6268
164,2.56252,-0.0103089655172413,-0.0107812427567663,0.3,-56.318
165,2.578141,-0.0105028965517241,-0.0122510200905693,0.3,-55.8592
166,2.593763,-0.010691724137931,-0.0107808976797009,0.3,-54.4241
167,2.609384,-0.010839724137931,-0.0112709384833237,0.3,-56.3633
168,2.625006,-0.0110438620689655,-0.012904407828733,0.3,-54.8421
169,2.640627,-0.0112428965517241,-0.0111079470827289,0.3,-53.6748
170,2.656248,-0.0113908965517241,-0.0112712992457102,0.3,-53.5477
171,2.671869,-0.0115950344827586,-0.0130677547632739,0.3,-54.6467
172,2.687491,-0.0117991724137931,-0.0115976323524056,0.3,-53.1163
173,2.703112,-0.0119573793103448,-0.0114346514086917,0.3,-53.3797
174,2.718733,-0.0121564137931034,-0.0098826476975163,0.3,-54.7694
176,2.765597,-0.0127331034482758,-0.0117606028633359,0.3,-56.0363
178,2.796841,-0.0131056551724137,-0.0245028244471966,0.3,-56.5223
179,2.812462,-0.0133251034482758,-0.0093655240109284,0.3,-57.5533
181,2.843704,-0.0137078620689655,-0.0251562330991211,0.3,-57.2625
182,2.859325,-0.0139375172413793,-0.0094742232843973,0.3,-57.2308
