Time,Position,Velocity,Voltage,Force
128,2.050005,-0.0008777931034482,-0.0033476210402506,0.3,-25.6044
129,2.066747,-0.0009339310344827,-0.0035723423462565,0.3,-25.6271
130,2.100006,-0.0010564137931034,-0.0037585233405145,0.3,-26.7852
131,2.115629,-0.0011176551724137,-0.0038080887922801,0.3,-27.1622
132,2.13351,-0.001184,-0.0038449624796411,0.3,-27.3074
133,2.150139,-0.0012503448275862,-0.0039895864329178,0.3,-27.0304
134,2.166769,-0.0013166896551724,-0.0035291434258817,0.3,-27.044
135,2.183399,-0.001367724137931,-0.0030572385286419,0.3,-26.7578
136,2.200155,-0.0014187586206896,-0.0037826670358458,0.3,-26.549
137,2.215779,-0.0014902068965517,-0.004918689983362,0.3,-27.1894
138,2.233357,-0.0015820689655172,-0.0049209266334574,0.3,-27.4437
139,2.250003,-0.0016586206896551,-0.0045835238833596,0.3,-27.9978
140,2.26676,-0.0017351724137931,-0.004738719719395,0.3,-28.3156
141,2.283389,-0.0018168275862068,-0.0041431566374489,0.3,-28.5608
142,2.300018,-0.0018729655172413,-0.0047571006570564,0.3,-28.3428
143,2.316646,-0.0019750344827586,-0.0050640103768664,0.3,-29.006
144,2.333275,-0.0020413793103448,-0.0046032305554979,0.3,-29.5054
145,2.349906,-0.0021281379310344,-0.0055379391596444,0.3,-30.1277
146,2.365529,-0.0022199999999999,-0.005331960885229,0.3,-30.9314
147,2.383406,-0.0023067586206896,-0.0051618509321226,0.3,-30.6998
148,2.400133,-0.0023986206896551,-0.0056787357565305,0.3,-30.9088
149,2.415759,-0.0024904827586206,-0.0057113177123856,0.3,-31.5354
150,2.433195,-0.002587448275862,-0.0049437501644879,0.3,-32.035
151,2.449825,-0.0026588965517241,-0.0050274274785351,0.3,-32.1622
152,2.466694,-0.0027558620689655,-0.0061256457823039,0.3,-32.3029
153,2.482317,-0.0028579310344827,-0.0061505854484628,0.3,-32.8479
154,2.499884,-0.0029599999999999,-0.0063043500846744,0.3,-34.4647
155,2.515507,-0.0030671724137931,-0.0062944882771898,0.3,-34.7507
156,2.533126,-0.0031692413793103,-0.006294298929409,0.3,-34.0968
157,2.54875,-0.0032764137931034,-0.0063968254621644,0.3,-35.1323
158,2.566634,-0.0033835862068965,-0.0063549251668617,0.3,-35.6818
159,2.583282,-0.0034958620689655,-0.0067479557693881,0.3,-35.6682
160,2.599911,-0.0036081379310344,-0.0058309340173414,0.3,-36.9079
161,2.616541,-0.0036897931034482,-0.0059710941937006,0.3,-36.1903
162,2.633244,-0.0038071724137931,-0.007165195034219,0.3,-38.4793
163,2.650017,-0.0039296551724137,-0.007181069066688,0.3,-38.1478
164,2.666646,-0.0040470344827586,-0.0070377618098046,0.3,-37.9797
165,2.683374,-0.0041644137931034,-0.0073435313040764,0.3,-38.997
166,2.700004,-0.004292,-0.0075021439869571,0.3,-39.8281
167,2.716707,-0.0044144827586206,-0.00734947998084,0.3,-39.7962
168,2.733335,-0.0045369655172413,-0.0075190620457406,0.3,-40.4821
169,2.749965,-0.0046645517241379,-0.007778251810082,0.3,-40.305
170,2.766797,-0.0047972413793103,-0.0070158877705285,0.3,-39.2013
171,2.783426,-0.0048993103448275,-0.0079796527150623,0.3,-38.3158
172,2.800054,-0.0050626206896551,-0.009053564504055,0.3,-38.6836
173,2.816684,-0.0052004137931034,-0.0072115110479395,0.3,-38.5474
174,2.833315,-0.0053024827586206,-0.0071840801774744,0.3,-38.2204
175,2.850072,-0.0054402758620689,-0.0071845105423086,0.3,-38.9743
176,2.866701,-0.0055423448275862,-0.0086014899009292,0.3,-38.7791
177,2.883298,-0.0057260689655172,-0.0097916686049456,0.3,-38.4748
178,2.900058,-0.0058689655172413,-0.0088251328881014,0.3,-38.6473
179,2.915682,-0.0060118620689655,-0.008775689384703,0.3,-38.8926
180,2.933206,-0.0061598620689655,-0.0086164236020143,0.3,-38.4748
181,2.950035,-0.0063078620689655,-0.0089467671453234,0.3,-38.7291
182,2.966861,-0.0064609655172413,-0.0091527991795463,0.3,-38.2522
183,2.98349,-0.0066140689655172,-0.0089346083260891,0.3,-38.5656
184,3.001133,-0.0067671724137931,-0.0063679576334728,0.3,-38.8471
186,3.033383,-0.0070427586206896,-0.0162657260581327,0.3,-38.7744
187,3.049006,-0.0071958620689655,-0.0070852702421425,0.3,-38.8199
189,3.083083,-0.0075224827586206,-0.0172006002675104,0.3,-39.9644
190,3.099995,-0.0076857931034482,-0.0098904036353915,0.3,-39.8825
191,3.116623,-0.0078542068965517,-0.010127716224875,0.3,-39.9597
192,3.133253,-0.0080226206896551,-0.0088998466580475,0.3,-40.75
193,3.149882,-0.0081502068965517,-0.0090172331179882,0.3,-41.0315
194,3.166645,-0.008323724137931,-0.0101895590929689,0.3,-40.4638
195,3.183439,-0.0084921379310344,-0.0103834145999227,0.3,-40.9771
196,3.200067,-0.0086707586206896,-0.0105883853334479,0.3,-41.1314
197,3.216696,-0.0088442758620689,-0.0105871119639963,0.3,-40.6228
198,3.233328,-0.0090228965517241,-0.0108701274250377,0.3,-41.5311
199,3.25003,-0.0092066206896551,-0.0108619811021375,0.3,-41.195
200,3.266687,-0.0093852413793103,-0.0110391238317031,0.3,-41.7401
201,3.283316,-0.0095740689655172,-0.0109882857614256,0.3,-40.8091
202,3.300127,-0.0097526896551724,-0.0094624179282708,0.3,-41.4176
203,3.316755,-0.0098904827586206,-0.0077260115876064,0.3,-41.4085
205,3.350013,-0.0102732413793103,-0.0199473324071576,0.3,-41.8898
206,3.365638,-0.0104620689655172,-0.0115762950849763,0.3,-41.9489
207,3.383077,-0.010656,-0.0114868610710722,0.3,-42.335
208,3.399848,-0.0108550344827586,-0.0118805278313508,0.3,-41.6991
209,3.416583,-0.0110540689655172,-0.0118776918755517,0.3,-42.0261
210,3.433362,-0.0112531034482758,-0.0082889589687914,0.3,-41.8808
212,3.466707,-0.0116562758620689,-0.0190742367083317,0.3,-42.0761
213,3.483336,-0.0118093793103448,-0.0107064278871442,0.3,-42.8208
214,3.500074,-0.0120135172413793,-0.0125418155249405,0.3,-42.7619
215,3.516703,-0.0122278620689655,-0.0124298436523086,0.3,-42.1488
216,3.533331,-0.0124268965517241,-0.0122568556610317,0.3,-42.8844
217,3.550013,-0.0126361379310344,-0.0128457885404654,0.3,-42.8119
218,3.566703,-0.0128555862068965,-0.0130182192980095,0.3,-42.5438
219,3.583335,-0.0130699310344827,-0.0128158342353486,0.3,-42.6573
220,3.600153,-0.0132842758620689,-0.0090253225584278,0.3,-43.3568
222,3.633295,-0.0137282758620689,-0.0128516456831172,0.3,-43.0706
223,3.66555,-0.0139426206896551,-0.0089777763357157,0.3,-43.3113
225,3.682182,-0.0143406896551724,-0.0226323348935164,0.3,-44.0334
226,3.699996,-0.0145703448275862,-0.0131623651487112,0.3,-44.701
227,3.71669,-0.0147948965517241,-0.0136304323305743,0.3,-44.315
228,3.733319,-0.0150245517241379,-0.0139292100747862,0.3,-44.5785
229,3.750031,-0.0152593103448275,-0.0139287923071034,0.3,-43.8473
230,3.766661,-0.0154889655172413,-0.0141169981472476,0.3,-44.86
231,3.78329,-0.0157288275862068,-0.0099139551667956,0.3,-44.2423
233,3.816636,-0.0161473103448275,-0.0226153874477602,0.3,-44.0969
234,3.833265,-0.0163871724137931,-0.0107796412649724,0.3,-44.5058
236,3.86682,-0.0168107586206896,-0.0187209299914359,0.3,-45.087
237,3.883449,-0.0169995862068965,-0.0130428787230006,0.3,-44.6737
238,3.900079,-0.0172445517241379,-0.0128454036248589,0.3,-45.3777
240,3.916822,-0.0176171034482758,-0.0224037358913902,0.3,-44.7237
241,3.933451,-0.0178008275862068,-0.0111305824187485,0.3,-45.7228
242,3.950293,-0.0179896551724137,-0.0112827190611194,0.3,-45.1415
244,3.966923,-0.0183724137931034,-0.0233230348145229,0.3,-45.6592
245,3.983553,-0.0185663448275862,-0.0116615174072615,0.3,-45.8591
246,4.000183,-0.0187602758620689,-0.0154975428701764,0.3,-46.077
247,4.016813,-0.0190817931034482,-0.0155718604845473,0.3,-46.2587
248,4.033612,-0.0192808275862068,-0.0157240554117198,0.3,-45.5684
249,4.050243,-0.019607448275862,-0.0177991581479253,0.3,-46.722
250,4.066872,-0.0198728275862068,-0.0164561008492125,0.3,-46.2996
251,4.082496,-0.0201382068965517,-0.0160087852587314,0.3,-46.7265
252,4.100345,-0.0204086896551724,-0.0141792098005908,0.3,-46.6765
253,4.115969,-0.0206128275862068,-0.012191116500653,0.3,-46.5902
254,4.133416,-0.0208118620689655,-0.0118315651424196,0.3,-47.5076
255,4.150045,-0.0210159999999999,-0.0128167708537136,0.3,-46.9899
257,4.166675,-0.0214344827586206,-0.0237302386515852,0.3,-47.3396
258,4.183304,-0.021643724137931,-0.0125829201581781,0.3,-47.0263
259,4.199933,-0.0218529655172413,-0.0124294699123466,0.3,-46.9491
261,4.216562,-0.022271448275862,-0.0256715764520279,0.3,-47.049
262,4.233261,-0.0224857931034482,-0.0128212003580695,0.3,-47.0988
263,4.249998,-0.0227001379310344,-0.0167386042800651,0.3,-47.544
264,4.266799,-0.0230471724137931,-0.0169453412689407,0.3,-47.6529
265,4.283428,-0.0232666206896551,-0.015664942154539,0.3,-47.1262
266,4.299052,-0.0235524137931034,-0.0149674676353276,0.3,-47.8936
267,4.316843,-0.0237667586206896,-0.0131347164963078,0.3,-46.9081
269,4.333473,-0.0242107586206896,-0.0248864000750822,0.3,-47.9027
270,4.350103,-0.0244302068965517,-0.0154390545696419,0.3,-47.8482
271,4.366859,-0.0247262068965517,-0.0155914494904581,0.3,-48.0753
272,4.38349,-0.0249507586206896,-0.0156505133380813,0.3,-47.8936
273,4.40012,-0.0252467586206896,-0.0157646104970547,0.3,-48.9155
275,4.416834,-0.0257009655172413,-0.0269133725820015,0.3,-48.7338
276,4.433521,-0.0259255172413793,-0.0136320686860866,0.3,-48.6611
278,4.450153,-0.0263082758620689,-0.0227548077218753,0.3,-48.8564
279,4.466974,-0.0265379310344827,-0.0138829903474667,0.3,-49.4605
280,4.483605,-0.0267726896551724,-0.0139631326850104,0.3,-48.8518
281,4.500234,-0.0270023448275862,-0.0184625599120791,0.3,-48.87
282,4.517052,-0.0273902068965517,-0.0163263959553097,0.3,-49.1016
284,4.533681,-0.0277831724137931,-0.0328363779625519,0.3,-49.9873
285,4.550311,-0.0280944827586206,-0.0188738127403419,0.3,-49.4605
286,4.56694,-0.0284108965517241,-0.0165726265497955,0.3,-49.9599
287,4.583569,-0.0286456551724137,-0.0193347309747616,0.3,-49.7919
288,4.600198,-0.0290539310344827,-0.0220961710130832,0.3,-50.2097
289,4.616828,-0.0293805517241379,-0.0170319530553422,0.3,-50.2188
290,4.633458,-0.0296204137931034,-0.0168785120368256,0.3,-50.1325
291,4.650088,-0.0299419310344827,-0.0196416314664244,0.3,-50.2779
292,4.666716,-0.0302736551724137,-0.0197950817122558,0.3,-50.0553
293,4.683346,-0.0306002758620689,-0.0197292345466215,0.3,-50.1506
294,4.700085,-0.0309319999999999,-0.0198833660761252,0.3,-49.851
295,4.716713,-0.031263724137931,-0.0199491317876553,0.3,-51.495
296,4.733342,-0.031595448275862,-0.0140711263167373,0.3,-50.228
298,4.764588,-0.032187448275862,-0.0316340707491712,0.3,-51.1135
299,4.783302,-0.0325293793103448,-0.0187688568713777,0.3,-50.9273
300,4.801024,-0.0328713103448275,-0.020527152002567,0.3,-51.1771
301,4.816617,-0.0332132413793103,-0.0212221347121868,0.3,-51.1862
302,4.833248,-0.0335551724137931,-0.0174985625025894,0.3,-51.4133
303,4.85074,-0.0338103448275862,-0.0204747690580153,0.3,-50.9454
304,4.867396,-0.0342543448275862,-0.0239195388485301,0.3,-51.8219
305,4.884024,-0.0346064827586206,-0.0204036657365134,0.3,-51.5404
306,4.901663,-0.0349535172413793,-0.0210195236086073,0.3,-51.4722
307,4.917287,-0.0353056551724137,-0.0223433591717798,0.3,-51.9446
308,4.933412,-0.0356628965517241,-0.019164223414167,0.3,-52.1126
309,4.950042,-0.0359333793103448,-0.0160639747276665,0.3,-51.9036
310,4.96677,-0.0361987586206896,-0.0214186329702228,0.3,-52.4032
311,4.9834,-0.0366478620689655,-0.0243985890871993,0.3,-52.4987
312,5.000028,-0.0370102068965517,-0.0219427253810479,0.3,-53.0481
313,5.016659,-0.0373776551724137,-0.0215780918464845,0.3,-52.0945
314,5.033376,-0.0377297931034482,-0.0215780918464839,0.3,-51.3315
315,5.050007,-0.0380972413793103,-0.0216325270200718,0.3,-52.0898
316,5.066876,-0.0384544827586206,-0.0205367179186158,0.3,-51.8583
317,5.084549,-0.0388066206896551,-0.0185765703007083,0.3,-51.554
318,5.099843,-0.0390668965517241,-0.0190231973753127,0.3,-51.5858
319,5.116742,-0.0394190344827586,-0.0208853789053991,0.3,-51.2588
320,5.133564,-0.0397711724137931,-0.0209013905053094,0.3,-50.9228
321,5.150193,-0.0401182068965517,-0.0208686059568008,0.3,-50.8956
322,5.166823,-0.0404652413793103,-0.0206908978689823,0.3,-50.8728
323,5.183491,-0.0408071724137931,-0.020690276502038,0.3,-50.7638
324,5.200122,-0.0411542068965517,-0.0212017383030698,0.3,-50.464
325,5.215746,-0.0414910344827586,-0.0178071890509851,0.3,-51.0772
326,5.233367,-0.0417462068965517,-0.0196687641580667,0.3,-50.8046
327,5.249996,-0.0421646896551724,-0.02104482127832,0.3,-50.4912
328,5.26562,-0.0424249655172413,-0.0177772439266089,0.3,-50.9545
329,5.283297,-0.0427566896551724,-0.0194030567720554,0.3,-49.8555
330,5.300076,-0.0430935172413793,-0.0204755347158221,0.3,-49.5104
331,5.315699,-0.0434201379310344,-0.0209070692690139,0.3,-49.7465
332,5.331321,-0.0437467586206896,-0.0191291510530426,0.3,-49.7828
333,5.349848,-0.0440733793103448,-0.0185806917345149,0.3,-50.0462
334,5.366478,-0.0443999999999999,-0.0192479191438759,0.3,-50.3915
335,5.383256,-0.0447164137931034,-0.0168837255192146,0.3,-48.8473
336,5.40003,-0.0449664827586206,-0.0172646066273216,0.3,-50.0962
337,5.416659,-0.0452931034482758,-0.0216098443465737,0.3,-49.3423
338,5.433329,-0.0456860689655172,-0.0190038314176245,0.3,-49.0926
339,5.449959,-0.0459259310344827,-0.0172467248114642,0.3,-48.7973
340,5.465583,-0.0462423448275862,-0.0188539718246841,0.3,-48.7746
341,5.483253,-0.0465536551724138,-0.0180028932503223,0.3,-49.9735
342,5.499884,-0.0468598620689655,-0.0185663632405085,0.3,-49.197
343,5.516513,-0.0471711724137931,-0.0185884666265163,0.3,-49.0199
344,5.533379,-0.0474824827586206,-0.0183664636660313,0.3,-49.2787
345,5.550135,-0.0477886896551724,-0.0189133351792295,0.3,-48.8473
346,5.565759,-0.0480948965517241,-0.018474578210608,0.3,-48.3568
347,5.583284,-0.0484011034482758,-0.0177815290984244,0.3,-48.7701
348,5.599913,-0.0487022068965517,-0.0161396373713432,0.3,-48.2841
349,5.615537,-0.0489216551724137,-0.0155335043806184,0.3,-48.2705
350,5.633096,-0.0492176551724137,-0.0172529362049369,0.3,-48.9881
351,5.64985,-0.0495136551724137,-0.0176516190589779,0.3,-48.6338
352,5.666634,-0.0498096551724137,-0.0177049376439273,0.3,-48.3796
353,5.683287,-0.0501056551724137,-0.0174628737978228,0.3,-48.4023
354,5.69995,-0.050391448275862,-0.0172558245114424,0.3,-48.0389
355,5.716707,-0.0506823448275862,-0.0172728803178612,0.3,-47.6939
356,5.733337,-0.0509681379310344,-0.0156644564801371,0.3,-48.4614
357,5.748961,-0.0511875862068965,-0.0161703113877527,0.3,-47.5576
358,5.764582,-0.0514733793103448,-0.016360542952958,0.3,-47.8527
359,5.783274,-0.0517489655172413,-0.0157491538197949,0.3,-47.7211
360,5.799903,-0.0520296551724137,-0.0168785120368256,0.3,-47.8437
361,5.816534,-0.0523103448275862,-0.0165706244286257,0.3,-47.5984
362,5.833473,-0.0525859310344827,-0.0165691437187308,0.3,-48.0889
363,5.850107,-0.0528666206896551,-0.0170863790003437,0.3,-47.2442
364,5.865731,-0.0531371034482758,-0.0163675990814615,0.3,-47.0626
365,5.883158,-0.0534075862068965,-0.0143602520243013,0.3,-47.6303
366,5.898782,-0.053611724137931,-0.0162106474855827,0.3,-47.6167
367,5.916529,-0.0539485517241379,-0.0155728587319242,0.3,-47.8846
368,5.933192,-0.0541475862068965,-0.0137600462800355,0.3,-47.1488
369,5.949909,-0.0544078620689655,-0.0160952236762702,0.3,-47.4894
370,5.965534,-0.0546681379310344,-0.0156235747485151,0.3,-47.1942
371,5.983554,-0.0549335172413793,-0.015171299134547,0.3,-47.2806
372,6.000182,-0.0551937931034482,-0.0158053753206385,0.3,-47.6212
373,6.016812,-0.0554591724137931,-0.0154975428701765,0.3,-47.008
