Epochs = 0 of 200000, Loss = 930.5187, params = (11.38959789276123, 16.6708927154541, -5.086747646331787)
Epochs = 1000 of 200000, Loss = 916.9361, params = (11.298332214355469, 16.576045989990234, -5.028672695159912)
Epochs = 2000 of 200000, Loss = 910.1407, params = (11.22550106048584, 16.490110397338867, -5.026031494140625)
Epochs = 3000 of 200000, Loss = 906.4758, params = (11.175271034240723, 16.410999298095703, -5.028355121612549)
Epochs = 4000 of 200000, Loss = 905.0165, params = (11.158114433288574, 16.33604621887207, -5.030162811279297)
Epochs = 5000 of 200000, Loss = 904.5513, params = (11.18354320526123, 16.260080337524414, -5.031488418579102)
Epochs = 6000 of 200000, Loss = 904.4383, params = (11.239311218261719, 16.177881240844727, -5.0325846672058105)
Epochs = 7000 of 200000, Loss = 904.3868, params = (11.305098533630371, 16.089765548706055, -5.033689975738525)
Epochs = 8000 of 200000, Loss = 904.3408, params = (11.372659683227539, 15.99867057800293, -5.034832000732422)
Epochs = 9000 of 200000, Loss = 904.2990, params = (11.439366340637207, 15.90711784362793, -5.035991191864014)
Epochs = 10000 of 200000, Loss = 904.2613, params = (11.504708290100098, 15.81618881225586, -5.037151336669922)
Epochs = 11000 of 200000, Loss = 904.2285, params = (11.568349838256836, 15.726236343383789, -5.038308620452881)
Epochs = 12000 of 200000, Loss = 904.1998, params = (11.630346298217773, 15.637834548950195, -5.039450645446777)
Epochs = 13000 of 200000, Loss = 904.1755, params = (11.690638542175293, 15.551117897033691, -5.040576934814453)
Epochs = 14000 of 200000, Loss = 904.1556, params = (11.749077796936035, 15.466522216796875, -5.041679382324219)
Epochs = 15000 of 200000, Loss = 904.1396, params = (11.805342674255371, 15.384684562683105, -5.042748928070068)
Epochs = 16000 of 200000, Loss = 904.1274, params = (11.858981132507324, 15.306365966796875, -5.043774127960205)
Epochs = 17000 of 200000, Loss = 904.1188, params = (11.909201622009277, 15.232842445373535, -5.04473876953125)
Epochs = 18000 of 200000, Loss = 904.1132, params = (11.954736709594727, 15.166060447692871, -5.045614719390869)
Epochs = 19000 of 200000, Loss = 904.1102, params = (11.993532180786133, 15.109086990356445, -5.0463643074035645)
Epochs = 20000 of 200000, Loss = 904.1090, params = (12.022721290588379, 15.066189765930176, -5.046930313110352)
Epochs = 21000 of 200000, Loss = 904.1088, params = (12.03964900970459, 15.04130744934082, -5.047261714935303)
Epochs = 22000 of 200000, Loss = 904.1087, params = (12.045519828796387, 15.032675743103027, -5.04736852645874)
Epochs = 23000 of 200000, Loss = 904.1087, params = (12.04629898071289, 15.031530380249023, -5.047382354736328)
Epochs = 24000 of 200000, Loss = 904.1087, params = (12.0463285446167, 15.031485557556152, -5.047390460968018)
Epochs = 25000 of 200000, Loss = 904.1087, params = (12.046344757080078, 15.031460762023926, -5.047381401062012)
Epochs = 26000 of 200000, Loss = 904.1087, params = (12.046356201171875, 15.03144359588623, -5.047381401062012)
Epochs = 27000 of 200000, Loss = 904.1087, params = (12.04636287689209, 15.031434059143066, -5.0473856925964355)
Epochs = 28000 of 200000, Loss = 904.1087, params = (12.046371459960938, 15.031427383422852, -5.047379016876221)
Epochs = 29000 of 200000, Loss = 904.1089, params = (12.046369552612305, 15.031423568725586, -5.047387599945068)
