Time,Position,Velocity,Voltage,Force
30.417385,-0.0019648275862068,-0.0079625544735567,0.3,-25.5319
30.433959,-0.0020515862068965,-0.0054213972811133,0.3,-25.8997
30.449391,-0.0021383448275862,-0.0053445832988145,0.3,-26.3947
30.466425,-0.0022251034482758,-0.0052801055205642,0.3,-26.9715
30.48322,-0.0023169655172413,-0.0038243992075569,0.3,-27.58
30.517309,-0.0025057931034482,-0.0055045566257773,0.3,-28.5473
30.549696,-0.0026027586206896,-0.0039331705764938,0.3,-26.431
30.565318,-0.0026946206896551,-0.0055760567625475,0.3,-28.2612
30.584564,-0.0028630344827586,-0.0114081431976128,0.3,-30.6227
30.600112,-0.0029804137931034,-0.0051185993298783,0.3,-29.0923
30.634416,-0.0031182068965517,-0.004741927822119,0.3,-27.6208
30.649619,-0.0032151724137931,-0.0085016251263755,0.3,-28.5565
30.667432,-0.0033988965517241,-0.0088527335805723,0.3,-28.6109
30.683055,-0.0035111724137931,-0.0061716118684847,0.3,-28.838
30.699682,-0.0035979310344827,-0.0057515580545333,0.3,-29.7826
30.716773,-0.0037051034482758,-0.0070198738319974,0.3,-29.6009
30.732397,-0.0038275862068965,-0.0064050326835302,0.3,-30.214
30.754222,-0.0039449655172413,-0.0068425222690194,0.3,-29.442
30.770435,-0.0040878620689655,-0.0073739986395791,0.3,-29.5509
30.786058,-0.004179724137931,-0.0062898987033755,0.3,-30.8816
30.805324,-0.0043073103448275,-0.0064850610563719,0.3,-30.8907
30.820684,-0.0044042758620689,-0.0088586153026587,0.3,-30.2276
30.834129,-0.0045624827586206,-0.0096559790557781,0.3,-30.4955
30.849753,-0.0046849655172413,-0.0065983605707519,0.3,-30.0824
30.867387,-0.0047819310344827,-0.0069052610624148,0.3,-31.0132
30.883011,-0.0049146206896551,-0.0083301604118732,0.3,-30.9179
30.898632,-0.0050422068965517,-0.0077989377377512,0.3,-30.7045
30.917693,-0.0051851034482758,-0.0077525094772289,0.3,-31.2449
30.93418,-0.0053177931034482,-0.0083450280673613,0.3,-30.659
30.950717,-0.0054606896551724,-0.008463174792632,0.3,-30.9588
30.967346,-0.0055984827586206,-0.0088612521222956,0.3,-31.2813
30.982969,-0.0057464827586206,-0.0071489382256866,0.3,-31.6719
31.007323,-0.0058842758620689,-0.0085260472389102,0.3,-30.6862
31.020679,-0.006068,-0.0096740957294258,0.3,-31.5719
31.049526,-0.0062925517241379,-0.0083774082916495,0.3,-31.5583
31.06515,-0.0064405517241379,-0.009636543822437,0.3,-31.422
31.080772,-0.0065936551724137,-0.0087637921165341,0.3,-31.3857
31.10009,-0.0067467586206896,-0.0086602594048901,0.3,-31.9079
31.116719,-0.0069049655172413,-0.0069913797477438,0.3,-32.0669
31.139508,-0.0070223448275862,-0.0094328555633244,0.3,-31.7854
